System Administrator,system-administrator-75,21 October 2019,Permanent,Full time,Banking/credit,Yerevan,https://staff.am/en/system-administrator-75
Business Administrator,business-administrator-5,10 November 2019,Permanent,Full time,Business/Management,Yerevan,https://staff.am/en/business-administrator-5
System administrator,system-administrator-74,08 November 2019,Permanent,Full time,IT,Yerevan,https://staff.am/en/system-administrator-74
Quality Control Administrator,quality-control-administrator,08 November 2019,Permanent,Full time,Quality,Yerevan,https://staff.am/en/quality-control-administrator
Database Administrator,database-administrator-61,31 October 2019,Permanent,Full time,Other,Yerevan,https://staff.am/en/database-administrator-61
Database Administrator (Oracle),database-administrator-oracle-15,05 November 2019,Permanent,Full time,Software,Yerevan,https://staff.am/en/database-administrator-oracle-15
Database Administrator (PostgreSQL),database-administrator-postgresql-12,05 November 2019,Permanent,Full time,Software,Yerevan,https://staff.am/en/database-administrator-postgresql-12
Mid Level Network and Operation System Administrator,mid-level-network-and-operation-system-administrator-1,06 November 2019,Permanent,Full time,System,Yerevan,https://staff.am/en/mid-level-network-and-operation-system-administrator-1
Linux Systems Administrator,linux-systems-administrator,03 November 2019,Permanent,Full time,Network,Yerevan,https://staff.am/en/linux-systems-administrator
Junior Database Administrator,junior-database-administrator,30 October 2019,Permanent,Full time,Other,Yerevan,https://staff.am/en/junior-database-administrator
Ցանցային համակարգի ադմինիստրատոր,cancayin-hamakargi-administrator-4,02  November 2019,Permanent,Full time,Network,Yerevan,https://staff.am/en/cancayin-hamakargi-administrator-4
"System administrator, computer engineer",system-administrator-computer-engneer,31 October 2019,Permanent,Full time,System,Yerevan,https://staff.am/en/system-administrator-computer-engneer
System Administrator,system-administrator-71,30 October 2019,Permanent,Full time,System,Yerevan,https://staff.am/en/system-administrator-71
Network and Operation System Junior Administrator,junior-level-network-and-operation-system-administrator,27 October 2019,Permanent,Full time,Other,Yerevan,https://staff.am/en/junior-level-network-and-operation-system-administrator
Համակարգչային /ցանցային/ ադմինիստրատոր,hamakargcayin-cancayin-administrator-1,27 October 2019,Permanent,Full time,System,Yerevan,https://staff.am/en/hamakargcayin-cancayin-administrator-1
Administrator,administrator-36,26 October 2019,Permanent,Full time,Tourism/Hospitality/HoReCa,Yerevan,https://staff.am/en/administrator-36
Senior IS Administrator /Information Security Management Team,senior-is-administrator-information-security-management-team,25 October 2019,Permanent,Full time,Banking/credit,Yerevan,https://staff.am/en/senior-is-administrator-information-security-management-team
Senior Administrator,senior-administrator,25 October 2019,Permanent,Full time,Administrative/office-work,Yerevan,https://staff.am/en/senior-administrator
Senior System Administrator,senior-system-administrator-13,23 October 2019,Permanent,Full time,Other,Yerevan,https://staff.am/en/senior-system-administrator-13
Junior Network Engineer/System Administrator,junior-network-engineersystem-administrator,11 October 2019,Permanent,Full time,Network,Yerevan,https://staff.am/en/junior-network-engineersystem-administrator
