title,job_title_eng,deadline,employment_term,job_type,category,location,job_link
Intern loan officer,intern-loan-officer-3,25 October 2019,Permanent,Full time,Banking/credit,Yerevan,https://staff.am/en/intern-loan-officer-3
"Junior Information Security Specialist, Internal Control Department, Information Security Service",junior-information-security-specialist-internal-control-department-information-security-service,23 October 2019,Permanent,Full time,IT,Yerevan,https://staff.am/en/junior-information-security-specialist-internal-control-department-information-security-service
"Senior Information Security Specialist, Internal Control Department, Information Security Service",senior-information-security-specialist-internal-control-department-information-security-service,23 October 2019,Permanent,Full time,IT,Yerevan,https://staff.am/en/senior-information-security-specialist-internal-control-department-information-security-service
Internal Control Specialist,internal-control-specialist-3,28 October 2019,Permanent,Full time,Banking/credit,Yerevan,https://staff.am/en/internal-control-specialist-3
SMM Intern,smm-intern-1,02 November 2019,Permanent,Full time,Marketing/Advertising/PR,Yerevan,https://staff.am/en/smm-intern-1
Internal audit,internal-audit,21 October 2019,Permanent,Part time,Audit/Compliance,Yerevan,https://staff.am/en/internal-audit
"Intern, Employment Relations and Benefits Management Division, HRM Service",intern-employment-relations-and-benefits-management-division-hrm-service,16 October 2019,Permanent,Full time,Human,Yerevan,https://staff.am/en/intern-employment-relations-and-benefits-management-division-hrm-service
Back-end Developer Internship (3-6 month),back-end-developer-internship-3-6-month-16,27 October 2019,Internship,Full time,Software,Yerevan,https://staff.am/en/back-end-developer-internship-3-6-month-16
Front-end Developer Internship (3-6 month),front-end-developer-internship-3-6-month-16,27 October 2019,Internship,Full time,Software,Yerevan,https://staff.am/en/front-end-developer-internship-3-6-month-16
Intern Mobile App Developer (6 month internship),intern-mobile-app-developer-6-month-internship-6,27 October 2019,Internship,Full time,Software,Yerevan,https://staff.am/en/intern-mobile-app-developer-6-month-internship-6
Internship,internship-2,25 October 2019,Other,Full time,Consultancy,Yerevan,https://staff.am/en/internship-2
Cooperation lead specialist with international operators,cooperation-lead-specialist-with-international-operators-1,11 October 2019,Permanent,Full time,Other,Yerevan,https://staff.am/en/cooperation-lead-specialist-with-international-operators-1
Web Developers and Designers - Experienced and Interns (6 Positions)),web-developers-and-designers---experienced-and-interns,22 October 2019,Permanent,Full time,Software,Yerevan,https://staff.am/en/web-developers-and-designers---experienced-and-interns
Head of International Operations and Correspondent Relations Division,head-of-international-operations-and-correspondent-relations-division,18 October 2019,Permanent,Full time,Banking/credit,Yerevan,https://staff.am/en/head-of-international-operations-and-correspondent-relations-division
Intern (3 months),intern-3-months,17 October 2019,Internship,Part time,Finance,Yerevan,https://staff.am/en/intern-3-months
Web developer - Intern,web-developer---intern-1,13 October 2019,Permanent,Full time,Software,Yerevan,https://staff.am/en/web-developer---intern-1
